country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Germany,15-24 years,female,-2.7829616675478612,2.650317910563516,13.41672,0.29987946,6,0
Germany,15-24 years,male,-0.5997226564945809,2.6712281020205713,17.400259,14.515232,6,0
Germany,25-34 years,female,-2.4792917110630786,2.6554662527815256,13.642874,0.7332282,6,0
Germany,25-34 years,male,0.7732340049941728,2.6752717168157174,27.827673,24.95975,6,0
Germany,35-54 years,female,-1.6166125264784377,2.668116845306481,17.342243,12.059596,6,0
Germany,35-54 years,male,2.6816237253544157,2.673105955958686,45.647472,17.686607,6,4
Germany,5-14 years,female,-3.5695767362477206,2.634034546644868,12.66375,-6.7617393,6,0
Germany,5-14 years,male,-3.5051183365745313,2.634465305535895,12.878336,-6.555057,6,0
Germany,55-74 years,female,-0.8813983790910241,2.672700964049189,17.44456,14.063378,6,0
Germany,55-74 years,male,3.8678395974737847,2.673606372902992,47.661095,16.321482,6,4
Germany,75+ years,female,0.8016158747862802,2.6723362231103636,28.081451,25.336266,6,0
Germany,75+ years,male,12.025788868554653,2.828424570275423,58.723038,-1.7441503,4,4
Greece,15-24 years,female,-3.31738385697996,-1.1003462321282944,-33.728416,38.841873,8,1
Greece,15-24 years,male,-2.5592363893957506,-1.092863233856733,-30.66456,36.610817,8,1
Greece,25-34 years,female,-3.0898583434018745,-1.0991886446531498,-32.353806,38.276157,8,1
Greece,25-34 years,male,-1.785341389105224,-1.081939869783327,-18.915619,30.614418,8,1
Greece,35-54 years,female,-3.074812951975975,-1.099648765070006,-32.65553,37.65041,8,1
Greece,35-54 years,male,-1.3997915613679361,-1.0781457938702115,-18.125729,30.697338,8,1
Greece,5-14 years,female,-3.529132680889379,-1.1014485704379522,-34.241425,39.715508,8,1
Greece,5-14 years,male,-3.5196133349937564,-1.1014722395083933,-34.6071,39.21976,8,1
Greece,55-74 years,female,-3.019766404499317,-1.0978292341934108,-31.697287,37.887592,8,1
Greece,55-74 years,male,-1.1327615570202847,-1.0700260303260278,-17.60168,30.707035,8,1
Greece,75+ years,female,-2.939454179102469,-1.097921662708949,-31.982658,36.81477,8,1
Greece,75+ years,male,-0.028869237047164115,-1.0493210546386693,-11.82775,29.729786,8,1
Guatemala,15-24 years,female,-2.6948835786632053,-5.130119718366324,-18.806684,-61.89725,8,1
Guatemala,15-24 years,male,-1.9061047724399571,-5.128558089585047,-33.67368,-46.11604,8,1
Guatemala,25-34 years,female,-3.1096155279578674,-5.1236124899108635,-19.973701,-63.269077,8,1
